model,general_information,performance,size,addons
ID.3,"The Volkswagen ID.3 is a pioneering compact electric family car, representing VW's commitment to a sustainable future. Positioned as an everyday vehicle with a modern design, the ID.3 is perfect for urban dwellers and small families. It features a hatchback body style with a spacious interior, advanced digital controls, and a user-friendly infotainment system. The car is built on the MEB platform, specifically designed for electric vehicles, offering both efficiency and a comfortable ride. It's an excellent choice for those looking to transition to electric mobility without compromising on practicality.","The ID.3 offers various battery options, providing ranges from approximately 330 km to 550 km on a single charge. It accelerates from 0 to 100 km/h in around 7.3 seconds, with a top speed of 160 km/h.","The ID.3 measures approximately 4,261 mm in length, 1,809 mm in width, and 1,568 mm in height. The wheelbase is around 2,765 mm, offering a spacious interior.","Available addons for the ID.3 include a panoramic sunroof, upgraded sound system, advanced driver assistance systems, adaptive cruise control, a larger battery pack, and matrix LED headlights."
ID.4,"The Volkswagen ID.4 is a fully electric SUV, designed to combine versatility with cutting-edge technology. It's well-suited for both city life and longer journeys, offering a spacious interior and a smooth ride. The ID.4's design is sleek and modern, with aerodynamic lines that reduce drag and enhance efficiency. It is built on Volkswagen's MEB platform and provides ample room for passengers and luggage, making it ideal for families. The ID.4 is also equipped with a host of digital features, including an intuitive infotainment system and advanced driver assistance technologies.","The ID.4 offers up to 450 km of range, depending on the battery configuration. It accelerates from 0 to 100 km/h in around 7.8 seconds with a top speed of 160 km/h.","The ID.4 is approximately 4,584 mm in length, 1,852 mm in width, and 1,636 mm in height. The wheelbase is around 2,771 mm, ensuring ample legroom for passengers.","Addon options include all-wheel drive, a panoramic sunroof, 20-inch wheels, a premium sound system, augmented reality head-up display, and matrix LED headlights."
ID.7,"The Volkswagen ID.7 is a large, premium electric sedan designed with a focus on comfort, technology, and long-distance travel. Positioned as the flagship of the ID series, the ID.7 offers a luxurious interior with advanced features such as a large digital cockpit and state-of-the-art infotainment system. The car's sleek, aerodynamic design is not only visually appealing but also contributes to its impressive range. The ID.7 is ideal for executives and long-distance commuters who prioritize comfort, technology, and sustainability.","The ID.7 offers a range of up to 700 km on a full charge, with an estimated 0 to 100 km/h acceleration time of around 5.6 seconds. Top speed is expected to be around 180 km/h.","The ID.7 is expected to measure around 4,950 mm in length, 1,870 mm in width, and 1,530 mm in height. The wheelbase is anticipated to be approximately 2,930 mm.","Potential addons include a panoramic sunroof, advanced driver assistance systems, premium leather interior, adaptive air suspension, premium sound system, and ambient interior lighting."
ID.5,"The Volkswagen ID.5 is a stylish coupe-SUV, offering a blend of sporty design and practicality. As part of VW's electric ID series, the ID.5 stands out with its sleek silhouette, providing a more dynamic look compared to the ID.4. It's designed for those who want the utility of an SUV but with a more refined, coupe-like profile. The ID.5 is equipped with the latest digital interfaces, including a high-definition display and voice-activated controls. It’s an excellent choice for tech-savvy drivers who want a sporty, yet environmentally friendly vehicle.","The ID.5 offers a range of around 500 km, depending on the battery configuration. It accelerates from 0 to 100 km/h in about 6.3 seconds, with a top speed of 180 km/h.","The ID.5 measures approximately 4,599 mm in length, 1,852 mm in width, and 1,616 mm in height, with a wheelbase of around 2,771 mm.","Available addons include a panoramic sunroof, upgraded sound system, 21-inch alloy wheels, advanced driver assistance systems, a heat pump for improved efficiency in cold weather, and matrix LED headlights."
ID.Buzz,"The Volkswagen ID.Buzz is a modern, electric interpretation of the classic VW Microbus, combining retro charm with cutting-edge technology. It is designed as a versatile, family-friendly vehicle that offers ample space for passengers and cargo. The ID.Buzz features a unique, nostalgic design that evokes memories of the original VW Bus while incorporating modern aesthetics. Inside, the ID.Buzz is packed with the latest digital features and offers a flexible seating arrangement, making it suitable for both daily commutes and long road trips. This vehicle is perfect for families and those who value both style and practicality.","The ID.Buzz is expected to have a range of up to 482 km, with a 0 to 100 km/h acceleration time of around 8.5 seconds. The top speed is projected to be around 145 km/h.","The ID.Buzz is estimated to be around 4,712 mm in length, 1,985 mm in width, and 1,937 mm in height, with a wheelbase of approximately 2,988 mm.","Potential addons include a panoramic roof, upgraded infotainment system, advanced safety features, customizable interior configurations, and matrix LED headlights."
Polo,"The Volkswagen Polo is a compact hatchback that has become a symbol of reliability, efficiency, and practicality. It is well-suited for urban environments, offering easy maneuverability and a comfortable ride. The Polo is known for its refined design, featuring clean lines and a spacious interior despite its compact size. It comes equipped with modern safety features and a user-friendly infotainment system, making it an excellent choice for first-time car buyers, young professionals, and small families.","The Polo comes with a variety of engine options, including a 1.0-liter TSI engine producing up to 110 hp. It can accelerate from 0 to 100 km/h in around 10.4 seconds, with a top speed of approximately 190 km/h.","The Polo is about 4,053 mm in length, 1,751 mm in width, and 1,446 mm in height. The wheelbase is approximately 2,564 mm.","Available addons include adaptive cruise control, rearview camera, upgraded infotainment system, 17-inch alloy wheels, digital cockpit, and LED headlights."
Golf,"The Volkswagen Golf is a compact hatchback that has been a cornerstone of the VW lineup for decades. It offers a perfect balance of practicality, comfort, and sportiness, making it a favorite among drivers worldwide. The Golf is known for its high-quality interior, advanced technology, and versatile performance. It’s an ideal car for those who need a reliable vehicle for daily commuting while also enjoying spirited drives. The Golf's design is timeless, with a focus on functionality and driver comfort.","The Golf offers a range of engines, including a 1.5-liter TSI engine with up to 150 hp. It can accelerate from 0 to 100 km/h in about 8.2 seconds, with a top speed of around 220 km/h.","The Golf measures approximately 4,284 mm in length, 1,789 mm in width, and 1,491 mm in height. The wheelbase is around 2,636 mm.","Addons include a panoramic sunroof, adaptive suspension, premium sound system, head-up display, 18-inch alloy wheels, and matrix LED headlights."
Touareg,"The Volkswagen Touareg is a mid-size luxury SUV that combines powerful performance with high-end features. It’s designed for drivers who seek a blend of on-road comfort and off-road capability. The Touareg offers a spacious and luxurious interior, equipped with the latest technology, including a fully digital cockpit and advanced driver assistance systems. Its bold and sophisticated exterior design reflects its premium positioning. The Touareg is ideal for families and individuals who require a versatile vehicle that can handle a variety of terrains while offering a premium driving experience.","The Touareg comes with a range of engines, including a 3.0-liter V6 TDI producing up to 335 hp. It can accelerate from 0 to 100 km/h in about 6.1 seconds, with a top speed of around 235 km/h.","The Touareg is approximately 4,878 mm in length, 1,984 mm in width, and 1,717 mm in height. The wheelbase is about 2,904 mm.","Available addons include a panoramic sunroof, air suspension, 21-inch alloy wheels, advanced driver assistance systems, premium sound system, and matrix LED headlights."
T-Roc,"The Volkswagen T-Roc is a compact SUV that stands out for its sporty design and versatility. It is designed for urban drivers who also enjoy occasional off-road adventures. The T-Roc combines the higher seating position and practicality of an SUV with the dynamic handling of a hatchback. It features a bold exterior with a customizable interior, offering various color combinations and finishes. The T-Roc is packed with the latest technology, including a digital cockpit and advanced driver assistance systems, making it a great choice for younger drivers and small families.","The T-Roc offers a variety of engines, including a 1.5-liter TSI engine with up to 150 hp. It can accelerate from 0 to 100 km/h in about 8.4 seconds, with a top speed of approximately 205 km/h.","The T-Roc measures around 4,234 mm in length, 1,819 mm in width, and 1,573 mm in height. The wheelbase is approximately 2,590 mm.","Addons include a panoramic sunroof, adaptive cruise control, 19-inch alloy wheels, advanced driver assistance systems, a digital cockpit, and LED headlights."
Arteon,"The Volkswagen Arteon is a premium fastback sedan that combines elegant design with high-end performance. It is designed for those who seek both style and substance in a vehicle. The Arteon features a sleek, aerodynamic profile with a spacious and luxurious interior, offering ample room for passengers and cargo. It comes equipped with advanced technology, including a digital cockpit and a state-of-the-art infotainment system. The Arteon is perfect for long-distance travel, offering a smooth and comfortable ride, making it an ideal choice for executives and families who prioritize both comfort and performance.","The Arteon offers a 2.0-liter TSI engine producing up to 268 hp, with a 0 to 100 km/h acceleration time of around 5.5 seconds and a top speed of 250 km/h.","The Arteon is approximately 4,862 mm in length, 1,871 mm in width, and 1,427 mm in height. The wheelbase is around 2,841 mm.","Available addons include a panoramic sunroof, 20-inch alloy wheels, adaptive cruise control, premium leather interior, advanced driver assistance systems, and matrix LED headlights."
